Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/api/kb/[id]/search,2547,0,3400,3345.2681365468347,331.88941099797376,4873.191974002111,12606.618767177071,28.580645824608464,0.0,3400,3600,3700,3700,3900,4100,4300,4400,4700,4900,4900
,Aggregated,2547,0,3400,3345.2681365468347,331.88941099797376,4873.191974002111,12606.618767177071,28.580645824608464,0.0,3400,3600,3700,3700,3900,4100,4300,4400,4700,4900,4900
