Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/api/kb/[id]/search,2472,0,3500,3445.3798698951946,344.95767099724617,7903.817471000366,12639.782362459548,27.747922484488477,0.0,3500,3900,4100,4300,4800,5200,5600,5900,6900,7900,7900
,Aggregated,2472,0,3500,3445.3798698951946,344.95767099724617,7903.817471000366,12639.782362459548,27.747922484488477,0.0,3500,3900,4100,4300,4800,5200,5600,5900,6900,7900,7900
