Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/api/kb/[id]/search,2567,1,3300,3325.954431056885,238.5186480023549,4912.440395004523,12674.40163615115,28.803028958592144,0.01122050212644805,3300,3600,3800,3900,4100,4200,4400,4500,4800,4900,4900
,Aggregated,2567,1,3300,3325.954431056885,238.5186480023549,4912.440395004523,12674.40163615115,28.803028958592144,0.01122050212644805,3300,3600,3800,3900,4100,4200,4400,4500,4800,4900,4900
