Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/api/kb/[id]/search,2541,0,1700,1696.3099488903006,58.763266999449115,3439.609428998665,12650.182211727666,28.525591086869213,0.0,1700,1900,2000,2200,2400,2600,2800,3000,3400,3400,3400
,Aggregated,2541,0,1700,1696.3099488903006,58.763266999449115,3439.609428998665,12650.182211727666,28.525591086869213,0.0,1700,1900,2000,2200,2400,2600,2800,3000,3400,3400,3400
