Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/api/kb/[id]/search,2579,0,1600,1694.2046701951517,310.96656899899244,3125.757723006245,12676.538968592478,28.9457067606181,0.0,1600,1900,2000,2100,2300,2500,2600,2800,3100,3100,3100
,Aggregated,2579,0,1600,1694.2046701951517,310.96656899899244,3125.757723006245,12676.538968592478,28.9457067606181,0.0,1600,1900,2000,2100,2300,2500,2600,2800,3100,3100,3100
