Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/api/kb/[id]/search,1052,0,800,838.8426827385467,252.82792600046378,1099.1343009955017,12344.162547528516,11.806265234915605,0.0,800,810,820,960,1100,1100,1100,1100,1100,1100,1100
,Aggregated,1052,0,800,838.8426827385467,252.82792600046378,1099.1343009955017,12344.162547528516,11.806265234915605,0.0,800,810,820,960,1100,1100,1100,1100,1100,1100,1100
