Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/api/kb/[id]/search,1074,0,4100,3956.709129709525,403.99200100364396,4570.489844998519,12327.422718808193,12.077142977467027,0.0,4100,4300,4300,4300,4300,4300,4300,4400,4600,4600,4600
,Aggregated,1074,0,4100,3956.709129709525,403.99200100364396,4570.489844998519,12327.422718808193,12.077142977467027,0.0,4100,4300,4300,4300,4300,4300,4300,4400,4600,4600,4600
